id,bairro,cep,cidade,cpf,data_nasc,email,endereco,estado,idade,mae,nome,numero,signo,tipo_sanguineo,
0,Vila Sarney,65090-677,Sao Luis,097.627.958-49,10/09/1948,vicenteolivermonteiro_@numero.com.br,2a Travessa do Ribeirao,MA,71,Louise Beatriz ,Vicente Oliver Monteiro,738,Virgem,AB-,
1,Vila Sao Jorge,75044-220,Anapolis,685.096.335-09,24/04/1995,miguelbernardogoncalves..miguelbernardogoncalves@findout.com.br,Praca Joao Salomao,GO,24,Raquel Barbara ,Miguel Bernardo Goncalves,805,Touro,A-,
2,Cabralzinho,68906-846,Macapa,956.997.968-27,13/03/1984,ericktheomarcosviniciusgomes_@br.festo.com,Alameda Calcoene,AP,35,Maite Valentina Rayssa ,Erick Theo Marcos Vinicius Gomes,669,Peixes,B+,
3,Mae Luiza,59014-227,Natal,631.875.885-22,27/09/1965,mariorobertoisaacnogueira-97@ipmmi.org.br,1a Rua Sao Francisco,RN,54,Alicia Cristiane Luzia ,Mario Roberto Isaac Nogueira,978,Libra,AB+,
4,Jardim Monaco,86702-790,Arapongas,397.480.478-14,24/11/1965,eeliasandersonmateusdasilva@microlasersp.com.br,Rua Mariquita-dos-rios,PR,54,Tatiane Josefa ,Elias Anderson Mateus da Silva,558,Sagitario,A+,
5,Boca da Mata,65917-157,Imperatriz,216.419.173-00,27/04/1997,gabrielluisjesus__gabrielluisjesus@desir.com.br,Rua Antenor Bastos,MA,22,Fernanda Sebastiana Melissa ,Gabriel Luis Jesus,651,Touro,B-,
6,Boa Esperanca,23894-586,Seropedica,148.386.650-59,10/01/1985,brunojulioguilhermedasneves_@icloub.com,Rua Jose Paucino,RJ,34,Lavinia Isabel ,Bruno Julio Guilherme das Neves,445,Capricornio,B-,
7,Vila Santo Eugenio,79060-380,Campo Grande,654.325.863-20,06/12/1957,ttheoguilhermesouza@paae.com.br,Rua Mamanguape,MS,62,Andreia Evelyn Camila ,Theo Guilherme Souza,912,Sagitario,O+,
8,Nova Maraba,68506-160,Maraba,704.817.633-41,12/11/1955,marcosviniciusdiegocalebedacunha_@edepbr.com.br,Quadra Dezesseis,PA,64,Luiza Claudia Isis ,Marcos Vinicius Diego Calebe da Cunha,869,Escorpiao,O+,
9,Ceilandia Norte (Ceilandia),72241-555,Brasilia,179.057.616-49,12/11/1952,tthomasenzoarthurmoreira@10clic.com.br,Quadra EQNP 13/17 Modulo E,DF,67,Stefany Vera Kamilly ,Thomas Enzo Arthur Moreira,894,Escorpiao,A-,
10,Loteamento Linda Chaib,13802-488,Mogi Mirim,999.008.988-42,25/08/1997,caiokevinpereira__caiokevinpereira@gvmail.br,Rua Tom Jobim,SP,22,Mariana Helena ,Caio Kevin Pereira,675,Virgem,O-,
11,Centro,29130-172,Viana,844.083.511-64,04/09/1999,olivermarioandrearaujo-73@smalte.com.br,Rua Alvimar Silva,ES,20,Marli Hadassa Lorena ,Oliver Mario Andre Araujo,880,Virgem,AB+,
12,Pacheco,88135-079,Palhoca,164.210.136-27,06/07/1985,mmatheusclaudioribeiro@supracolor.com.br,Travessa Antonio Benjamim Batista,SC,34,Pietra Aurora ,Matheus Claudio Ribeiro,602,Cancer,A-,
13,Setor Noroeste,70686-455,Brasilia,771.006.764-60,20/02/1997,ddanielvicenteisaacfarias@plani.com.br,Quadra SQNW 109 Bloco K,DF,22,Jaqueline Valentina ,Daniel Vicente Isaac Farias,211,Peixes,B-,
14,Mecejana,69304-350,Boa Vista,506.865.202-46,22/11/1965,felipebrunodossantos_@gmeil.com,Avenida Mario Homem de Melo,RR,54,Isabelle Marcia Antonella ,Felipe Bruno dos Santos,732,Sagitario,AB-,
15,Primavera,78132-360,Varzea Grande,325.828.867-42,04/03/1945,marcioheitorsilveira-91@technicolor.com,Rua Rio Cuiaba,MT,74,Alana Isadora Juliana ,Marcio Heitor Silveira,681,Peixes,AB-,
16,Maria Ceu,88810-336,Criciuma,284.536.218-88,23/09/1961,theomariovictorbarbosa__theomariovictorbarbosa@unicamp.br,Rua Romeu Lopes de Carvalho,SC,58,Caroline Gabriela ,Theo Mario Victor Barbosa,713,Libra,A-,
17,Pedras,60874-405,Fortaleza,390.375.925-20,11/05/1981,pietrohenrydepaula__pietrohenrydepaula@redacaofinal.com.br,Rua Matiz,CE,38,Tereza Bruna ,Pietro Henry de Paula,118,Touro,AB-,
18,Jardim Aeroporto,79106-140,Campo Grande,756.005.387-40,14/12/1941,kkaiquethiagodepaula@microdoc.com.br,Rua Pato Branco,MS,78,Alice Leticia ,Kaique Thiago de Paula,349,Sagitario,A-,
19,Novo Juazeiro,63030-450,Juazeiro do Norte,551.341.139-39,16/02/1999,ggabrielerickoliverdaluz@velc.com.br,Avenida do Contorno,CE,20,Helena Agatha Teresinha ,Gabriel Erick Oliver da Luz,758,Aquario,O+,
20,Jardim dos Bancarios,84172-370,Castro,756.048.583-90,11/03/1982,luancaueanthonydamota_@suzano.com.br,Rua Major Candido Cruz,PR,37,Vanessa Camila Nicole ,Luan Caue Anthony da Mota,657,Peixes,AB+,
21,Educandos,69070-555,Manaus,386.351.591-95,13/01/1978,eenzodiegorocha@fiorecomunicacao.com.br,Beco Patos de Minas,AM,41,Isabelle Maite Rosa ,Enzo Diego Rocha,767,Capricornio,A-,
22,Engenho Novo,20950-430,Rio de Janeiro,885.264.747-31,27/01/2001,ccesarmatheuscauerodrigues@rafaelsouza.com.br,Rua do Amor,RJ,18,Sophie Bianca ,Cesar Matheus Caue Rodrigues,438,Aquario,A+,
