id,cep,cidade,cpf,data_nasc,endereco,estado,mae,nome,tipo_sanguineo
01,69304-350,Boa Vista,506.865.202-46,22/11/1965,Avenida Mario Homem de Melo,RR,Isabelle Marcia Antonella ,Felipe Bruno dos Santos,AB-
02,78132-360,Varzea Grande,325.828.867-42,,Rua Rio Cuiaba,MT,Alana Isadora,Marcio Heitor Silveira,AB-
03,88810-336,Criciuma,284.536.218-88,23/09/1961,Rua Romeu Lopes de Carvalho,SC,Caroline Gabriela ,Theo Mario Victor Barbosa,A-
04,60874-405,Fortaleza,390.375.925-20,11/05/1981,,CE,Tereza Bruna ,Pietro Henrique de Paula,AB-
05,79106-140,Campo Grande,756.005.387-40,14/12/1941,Rua Pato Branco,MS,Alice Leticia ,Kaique Thiago de Paula,A-
06,63030-450,Juazeiro do Norte,551.341.139-39,16/02/1999,Avenida do Contorno,CE,Elena Agatha Teresinha ,Gabriel Erick Oliver da Luz,O+
07,84172-370,Castro,756.048.583-90,11/03/1982,Rua Major Candido Cruz,,Vanessa Camila Nicole ,Luan Caue Anthony da Mota,
08,69070-555,Manaus,386.351.591-95,13/01/1978,,AM,Isabelle Maite Rosa ,Enzo D Rocha,
09,20950-430,Rio de Janeiro,885.264.747-31,27/01/2001,Rua do Amor,RJ,Sophie Bianca ,Cesar Matheus Caue Rodrigues,
10,36071-020,Juiz de Fora,489.611.821-96,,Rua Flavia Rios Miranda,MG,Giovana Antonella Larissa ,Caua Isaac Castro,
11,75063-120,Anapolis,281.229.310-14,08/11/1947,Avenida dos Palmares,GO,Mariana Mirella Natalia ,Gabriel Caua Marcos Vinicius Caldeira,
12,78731-260,Rondonopolis,492.264.809-74,18/04/1969,Rua Circular-2,MT,Rita Ayla Sara ,Danilo Severino da Cruz,B+
13,77818-355,,816.876.443-90,27/03/1972,Rua Aparecida,TO,Louise Joana ,Samuel Noah Lopes,O-
14,05403-900,,327.630.596-86,10/10/1984,Avenida Doutor Eneas Carvalho de Aguiar 255,SP,Heloisa Luzia ,Juan Raimundo Osvaldo Cardoso,B+
15,69036-075,,181.410.022-95,05/01/1973,Beco Sao Pedro II,AM,Jessica Jaqueline Flavia ,Leandro Cesar Jorge Drumond,O-
16,40720-479,,843.458.724-64,12/09/1996,3a Travessa Osvaldo Neves,BA,Lara Sabrina Giovanna ,Caio Julio Kaue Lima,AB+
17,65075-047,,134.836.403-39,21/06/1963,Rua Professora Laura Rosa,MA,Leticia Isabelly Stefany ,Guilherme Rafael Kevin Monteiro,A-
18,79041-061,,557.744.519-17,09/02/1947,Rua Jacarepagua,MS,Gabriela Sueli ,Nicolas Edson Araujo,O-
19,72236-503,,254.321.926-91,25/05/1988,Quadra EQNP 30/34 Bloco C,DF,Rita Rafaela Lara ,Cesar Nelson Daniel Britto,AB+
20,72233-008,Brasilia,806.443.633-80,16/02/1941,Quadra QNP 20 Conjunto H,DF,Nicole Aparecida ,Rodrigo Erick Roberto Freitas,B+
21,29908-350,,984.830.666-88,09/07/1980,Rua Argeo de Carvalho,ES,Antonella Yasmin ,Enrico Arthur Kaue da Cunha,A-
22,69038-276,Manaus,097.294.987-92,24/12/1958,Rua 6,AM,Luzia Sara Rafaela ,Mario Kevin Baptista,O-
23,69550-455,Tefe,949.278.899-39,10/03/2001,Travessa Porto Alegre,AM,Benedita Nair Tatiane ,Caleb Augusto Igor Barbosa,AB+
24,57044-152,Maceio,657.324.647-00,24/06/1991,Rua Lirio,AL,Isabelly Maria Lavinia ,Jose Ian da Conceicao,B+
25,,Valparaiso de Goias,249.678.124-57,08/09/1943,Rua 23,GO,Bruna Esther Evelyn ,Fernando Cesar Figueiredo,AB+
26,,Varzea Grande,295.718.231-98,08/04/1966,Rua Sao Sebastiao,MT,Luzia Luciana ,Jose Caua Vicente Aragao,O-
27,,Rio do Sul,536.503.166-09,24/07/1987,Rua Tenente Neves,SC,Isadora Lucia Joana ,Theo Sebastiao da Rosa,A-
28,,Caieiras,735.197.681-35,17/07/1955,Rua Belem,SP,Jessica Tereza ,Breno Bruno Pinto,AB+
29,,Canoas,797.175.014-59,11/09/1954,Rua Dezoito,RS,Stella Raimunda Sandra ,Calebe Osvaldo Barbosa,AB+
30,,Macapa,618.880.659-31,20/03/1961,Avenida Maria Cavalcante de Azevedo Picanco,AP,Fernanda Mariah ,Miguel Francisco Matheus Galvao,AB+
31,,Palmas,792.235.438-00,21/10/1939,Quadra 303 Sul Alameda 10,TO,Sara Benedita ,Iago Sergio da Conceicao,AB-
32,,Macapa,288.360.031-76,22/02/2001,Passagem Rio Jari,AP,Debora Sarah ,Calebe Augusto Iago da Costa,AB+
33,,Jaboatao dos Guararapes,155.699.916-03,17/09/1992,Rua Sao Domingos,PE,Andrea Giovanna Emily ,Bruno Ruan Luan Cardoso,O-
34,37902-013,Passos,735.339.007-70,17/04/1960,Rua Onze de Dezembro,MG,Malu Sophia Marli ,Enzo Diogo Pinto,A-
35,57072-276,Maceio,455.643.269-38,20/10/1940,Quadra E,AL,Daniela Isabella Isabela ,Noah Marcelo Rocha,AB+
36,60767-645,Fortaleza,180.830.510-80,12/07/1980,Rua 18,CE,Alice Stefany ,Bernardo Antonio Almada,AB-
37,59616-380,Mossoro,473.096.540-05,26/03/1985,Rua Luiz Fausto de Medeiros,RN,Luzia Ana Maite ,Theo Mario Raul Souza,B-
38,69316-322,Boa Vista,985.904.206-39,03/11/1946,Rua OP-XXXIII,RR,Agatha Maite ,Paulo Joaquim Araujo,A+
39,72275-322,Brasilia,517.088.375-74,27/01/1966,Quadra QNR 2 Area Especial 11,DF,Gabrielly Malu Vanessa ,Pietro Rafael Nassimento,O-
40,64218-415,Parnaiba,488.380.897-10,14/04/1953,Travessa Josias de Morais Correia,PI,Sebastiana Lucia Luna ,Cesar Noah Martins,A+
41,61637-973,Caucaia,169.848.860-23,08/05/1982,Rodovia Estruturante - CE 085, s/n Quilometro 13 Sala 8,Eloa Maria Rita ,Thomas Arthur Rocha,AB+
42,24802-120,Itaborai,318.470.004-60,24/11/1949,Rua L,RJ,Tatiane Daiane Sara ,Kaue Cesar Moraes,O-
43,36771-412,Cataguases,939.097.065-25,11/04/1981,Rua Jose Simeao,MG,Andreia Mariane ,Sebastiao Anderson Claudio Sales,B-
44,83402-215,Colombo,998.958.182-70,06/01/1977,Rua Aires Fernandes da Silva,PR,Alice Marcia Flavia ,Ryan Benicio Corte Real,A-
45,26020-115,Nova Iguacu,348.748.050-60,14/03/1982,Rua Professora Katia Batista do Carmo,RJ,Agatha Esther ,Eduardo Pietro Jose Teixeira,AB+
46,96020-130,Pelotas,066.796.721-47,16/05/1939,Rua Alexandre Gastaud,RS,Isis Raimunda Andreia ,Martin Caio Galvao,AB-
47,49044-010,Aracaju,213.005.833-71,04/11/1992,Rua Manoel Gratuliano dos Santos,SE,Flavia Leticia ,Marcos Nicolas Baptista,O-
48,79900-636,Ponta Pora,758.219.979-09,22/03/1980,Rua Planalto Central,MS,Joana Cristiane Sophia ,Gustavo Levi Manoel Moura,B-
49,77062-164,Palmas,858.666.733-12,11/05/1959,Rua Fabricio Cesar Freire,TO,Sonia Stefany Patricia ,Gabriel Geraldo Levi Sales,B+
50,49055-610,Aracaju,046.391.337-07,27/01/1952,Rua Salgado,SE,Silvana Maya ,Manoel Luis Felipe Peixoto,AB-
51,45002-048,Vitoria da Conquista,869.696.945-69,07/11/1945,1a Travessa da Barragem,BA,Isabelly Kamilly ,Alexandre Bruno Marcio Araujo,B-
52,88353-509,Brusque,872.870.813-00,05/03/1992,Rua AZ - 027,SC,Rita Maa,Heitor Enzo Arthur Pinto,B-
53,77413-785,Gurupi,145.891.596-43,21/05/1962,Rua S,TO,Ayla Claudia,Raimundo Tomas da Conceicao,AB-
54,59600-200,Mossoro,631.466.800-09,17/10/1969,Rua Coronel Gurgel,RN,Gabrielly Melissa Kamilly ,Ricardo Igor Barros,
55,79645-200,Tres Lagoas,159.568.299-66,24/05/1957,Rua Arapuana,MS,Melissa Louise Antonia ,Lucca Francisco Gael Oliveira,
56,56306-270,Petrolina,875.553.057-55,13/03/1961,Rua Pio XII,PE,Valentina Tereza Benedita ,Guilherme Severino Nathan Barbosa,
57,64600-146,Picos,055.302.287-39,04/01/1948,Avenida Nossa Senhora de Fatima,PI,Lunna Sonia Sebastiana ,Levi Heitor da Costa,AB-
58,57039-876,Maceio,880.960.378-89,04/07/1973,Rua Sao Lucas,AL,Sophia Bruna Manuela ,,AB-
59,69095-503,Manaus,071.707.642-37,06/06/1949,Rua Ibiraiaras,AM,Pietra Tatiane Rayssa ,,O-
60,77064-590,Palmas,895.160.103-00,10/07/1945,Rua P 3,TO,Catarina Cristiane ,Otavio Bernardo da Mata,B+
61,57061-310,Maceio,248.115.138-00,27/11/1939,Rua Manoel Luiz Santana,AL,Regina Alice Ana ,Erick Bryan Julio Aragao,AB+
62,77015-466,Palmas,514.481.204-03,08/06/1959,Quadra 307 Sul Avenida LO 5,TO,Rosa Rafaela Fabiana ,Bento Kaue Gael da Mota,A-
63,57301-100,Arapiraca,885.720.350-60,19/10/1962,Rua Professor Domingos Correia,AL,Juliana Isabelly ,Roberto Daniel Galvao,B+
64,29164-869,Serra,571.307.021-25,05/01/1984,Rua da Macieira,ES,Pietra Sebastiana Luana ,Marcelo Benedito Porto,AB-
65,18270-850,Tatui,506.359.495-63,27/11/1973,Praca Anselmo Pilon,SP,Elza Gabrielly ,Pietro Diego Carlos Fernandes,A+
