cpf_a,cpf_b,similarity
097.627.958-49,097.627.958-49,1
685.096.335-09,685.096.335-09,1
956.997.968-27,956.997.968-27,1
631.875.885-22,631.875.885-22,1
397.480.478-14,397.480.478-14,1
216.419.173-00,216.419.173-00,1
148.386.650-59,148.386.650-59,1
654.325.863-20,654.325.863-20,1
704.817.633-41,704.817.633-42,1
179.057.616-49,179.057.6-49,1
999.008.988-42,999.008.988-42,1
844.083.511-64,844.083.511-64,1
164.210.136-27,164.210.136-27,1
771.006.764-60,771.006.764-60,1
506.865.202-46,506.865.202-46,1
325.828.867-42,325.828.867-42,1
284.536.218-88,284.536.218-88,1
390.375.925-20,390.375.925-20,1
756.005.387-40,756.005.387-40,1
551.341.139-39,551.341.139-39,1
756.048.583-90,756.048.583-90,1
386.351.591-95,386.351.591-95,1
885.264.747-31,885.264.747-31,1
489.611.821-96,489.611.821-96,1
281.229.310-14,281.229.310-14,1
492.264.809-74,492.264.809-74,1
816.876.443-90,816.876.443-90,1
327.630.596-86,327.630.596-86,1
181.410.022-95,181.410.022-95,1
806.443.633-80,806.443.633-80,"0,99999"
735.197.681-35,735.197.681-35,"0,99999"
145.891.596-43,145.891.596-43,"0,998979"
617.496.046-39,617.496.046-39,"0,998979"
580.637.600-18,580.637.600-18,"0,998979"
557.744.519-17,557.744.519-17,"0,99656"
874.269.918-57,874.269.918-57,"0,98786"
919.624.227-20,919.62.227-20,"0,98786"
870.599.445-40,870.599.445-40,"0,98786"
461.427.999-69,461.427.999-69,"0,98764"
998.468.193-90,998.468.193-90,"0,98764"
893.927.849-61,893.927.849-61,"0,98764"
949.278.899-39,949.278.899-39,"0,98566"
248.115.138-00,248.115.138-00,"0,9785646"
673.573.047-01,673.573.047-01,"0,9785646"
869.696.945-69,869.696.945-69,"0,978545"
055.033.142-55,055.033.142-55,"0,978545"
890.614.469-53,890.614.469-53,"0,978545"
872.870.813-00,872.870.813-00,"0,97854"
311.265.388-25,311.265.388-25,"0,97854"
016.408.168-28,016.408.168-28,"0,97854"
885.720.350-60,885.720.350-60,"0,9689562"
358.388.393-41,358.388.393-41,"0,9689562"
514.481.204-03,514.481.204-03,"0,968785"
605.621.365-09,605.621.365-09,"0,968785"
295.718.231-98,295.718.231-98,"0,96863"
571.307.021-25,571.307.021-25,"0,96475"
164.419.474-04,164.419.474-04,"0,96475"
843.458.724-64,843.458.724-64,"0,96454"
840.760.458-58,840.760.458-58,"0,96325"
197.863.690-33,197.863.690-33,"0,96325"
831.082.317-74,831.082.317-74,"0,96325"
631.466.800-09,631.466.800-09,"0,96252"
710.692.544-60,710.692.544-60,"0,96252"
477.926.511-85,477.926.511-85,"0,96252"
618.977.950-68,618.977.950-68,"0,96219"
254.321.926-91,254.321.926-91,"0,95675"
134.836.403-39,134.836.403-39,"0,94565"
159.568.299-66,159.568.299-66,"0,93146"
895.258.369-83,895.258.369-83,"0,93146"
747.918.651-70,747.918.651-70,"0,93146"
885.968.346-72,885.968.346-72,"0,91332"
853.220.078-81,853.220.078-81,"0,91332"
126.180.305-16,126.180.305-16,"0,91332"
506.59.495-63,506.359.495-63,"0,8945"
972.164.865-52,972.164.865-52,"0,8945"
984.830.666-88,984.830.666-88,"0,87946"
895.160.103-00,895.160.103-00,"0,85897"
245.770.855-93,245.770.855-93,"0,85897"
071.707.642-37,071.707.642-37,"0,7985"
671.117.241-86,671.117.241-86,"0,7985"
818.222.952-97,818.222.952-97,"0,7656"
908.891.242-48,908.891.242-48,"0,7656"
287.100.357-29,287.100.357-29,"0,7656"
097.294.987-92,097.294.987-92,"0,76521"
880.960.378-89,880.960.378-89,"0,7544"
834.283.152-35,834.283.152-35,"0,7544"
846.921.875-14,846.921.875-14,"0,69556"
018.915.491-89,018.915.491-89,"0,69556"
875.553.057-55,875.553.057-55,"0,6942"
965.187.557-76,965.187.557-76,"0,6942"
428.323.107-02,428.323.107-02,"0,6942"
040.568.439-88,040.568.439-88,"0,68971"
834.995.261-07,834.995.261-07,"0,68971"
532.555.622-36,532.555.622-36,"0,68971"
055.302.287-39,055.302.287-39,"0,657479"
849.775.532-41,849.775.532-41,"0,657479"
535.871.894-04,535.871.894-04,"0,6568"
455.314.739-40,455.314.739-40,"0,6568"
816.924.878-76,816.924.878-76,"0,6568"
711.467.358-20,711.467.358-2,"0,65486"
535.263.581-33,535.263.581-31,"0,65486"
692.168.686-86,692.168.68686,"0,65486"
748.193.267-08,748.193.26-08,"0,654796"
805.964.609-53,805.964.609-5,"0,654796"
299.310.419-51,299.310.419-5,"0,654796"
823.068.573-85,823.068.573-8,"0,65421"
568.278.966-09,568.278.966-0,"0,65421"
994.833.262-81,994.833.262-8,"0,65421"
442.694.244-60,442.694.244-6,"0,648"
658.224.088-93,658.224.088-9,"0,648"
705.638.513-33,705.638.513-3,"0,648"
423.398.060-54,423.398.060-5,"0,56454"
493.560.527-86,493.560.527-8,"0,56454"
911.508.160-58,911.508.160-5,"0,56454"
821.284.216-91,821.284.216-9,"0,5415"
189.950.883-03,189.950.883-0,"0,5415"
629.574.715-90,629.574.715-9,"0,46565"
049.129.085-33,049.129.085-3,"0,46565"
617.788.187-49,617.788.187-4,"0,46565"
233.893.997-20,233.893.997-2,"0,464547"
621.824.822-45,621.824.822-4,"0,464547"
728.111.694-23,728.111.694-2,"0,464547"
536.503.166-09,536.503.166-0,"0,36479"
974.659.231-90,974.659.231-9,"0,32967"
422.944.956-91,422.944.956-9,"0,32967"
598.428.502-93,598.428.502-9,"0,32967"
563.337.623-42,563.337.623-4,"0,32564"
236.305.262-50,236.305.262-5,"0,32564"
662.831.369-74,662.831.369-7,"0,32564"
249.678.124-57,249.678.124-5,"0,26898"
466.803.635-86,466.803.635-8,"0,26548"
640.234.882-16,640.234.882-1,"0,26548"
056.588.074-84,056.588.074-8,"0,26548"
893.426.079-34,893.426.079-3,"0,25657"
896.785.694-69,896.785.694-6,"0,25657"
395.244.862-10,395.244.862-1,"0,25657"
657.324.647-00,657.324.647-0,"0,25465"
341.311.535-99,341.311.535-9,"0,235456"
510.498.890-29,510.498.890-2,"0,235456"
548.978.343-50,548.978.343-5,"0,235456"
728.882.048-35,728.882.048-3,"0,22648"
537.674-16,537.674.050-1,"0,22648"
660.591.057-50,660.591.057-5,"0,22648"
